epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5194,3.95199,4.90654,4.19967,0,0,0,0,2.3242,25.0634,2.45734,0.00015453,0.00015453,0.00015453
2,41.1881,3.9328,4.93389,4.19521,0.00042,0.00549,0.00145,0.00087,2.32556,25.5415,2.45626,0.000315,0.000315,0.000315
3,87.7874,4.09884,5.0762,4.16007,0.00017,0.00549,0.00017,0.00013,2.32351,26.0315,2.45064,0.000472231,0.000472231,0.000472231
4,139.871,3.84627,5.10134,4.12035,0.00016,0.00549,0.00016,0.00013,2.29643,26.6693,2.42298,0.000626222,0.000626222,0.000626222
5,184.421,3.92145,4.82761,4.12826,0.00017,0.00549,0.00016,0.00013,2.26057,26.8061,2.39413,0.000776973,0.000776973,0.000776973
6,228.19,4.08143,4.60275,4.09393,0.00017,0.00549,0.00018,0.0001,2.19799,26.5337,2.3487,0.000864004,0.000864004,0.000864004
7,282.597,3.86656,4.60292,4.07314,0.00017,0.00549,0.00108,0.00043,2.15595,26.3377,2.31564,0.000855005,0.000855005,0.000855005
8,325.978,3.85267,4.90355,4.03893,0.00014,0.00549,0.00132,0.00026,2.12498,26.6897,2.28494,0.000846006,0.000846006,0.000846006
9,361.297,3.96034,4.62013,4.00804,9e-05,0.00461,0.00012,2e-05,2.10366,27.4272,2.27964,0.000837007,0.000837007,0.000837007
10,392.016,3.95154,4.53193,4.01101,0.00123,0.02109,0.0068,0.00152,2.20813,27.7496,2.3513,0.000828008,0.000828008,0.000828008
11,426.468,3.96424,4.32905,3.95959,0.00224,0.04078,0.00805,0.00145,5.16023,15.551,3.68052,0.000819009,0.000819009,0.000819009
12,459.915,3.7989,4.16424,3.87678,0.00152,0.03417,0.00246,0.00057,4.9015,5.66534,3.47684,0.00081001,0.00081001,0.00081001
13,493.22,3.9824,4.24738,3.8212,0.71808,0.01471,0.00267,0.00059,4.40023,5.16191,3.43861,0.000801011,0.000801011,0.000801011
14,533.983,4.21179,4.10519,3.58403,0.29521,0.04307,0.00734,0.00247,3.93981,4.35523,3.33082,0.000792012,0.000792012,0.000792012
15,589.633,3.67399,3.68074,3.759,0.73381,0.03297,0.01587,0.00469,3.66665,3.90272,3.26388,0.000783013,0.000783013,0.000783013
16,624.133,3.82988,3.78839,3.64144,0.76142,0.04396,0.05077,0.02015,3.42268,3.56557,3.18944,0.000774013,0.000774013,0.000774013
17,661.418,3.64615,3.50724,3.48006,0.50746,0.03483,0.04762,0.01674,3.45521,3.61801,3.00553,0.000765014,0.000765014,0.000765014
18,700.572,3.79045,3.59293,3.22613,0.33958,0.05955,0.04893,0.01856,3.5083,3.51805,2.8947,0.000756015,0.000756015,0.000756015
19,736.525,3.6664,3.46335,3.34176,0.37226,0.06378,0.06671,0.02066,3.41904,3.14665,2.76553,0.000747016,0.000747016,0.000747016
20,772.678,3.67048,3.27325,3.13672,0.51204,0.08643,0.07159,0.02202,3.21386,3.07023,2.70912,0.000738017,0.000738017,0.000738017
21,810.831,3.67065,3.236,2.92826,0.54604,0.08687,0.0823,0.0215,3.16954,3.62661,2.66145,0.000729018,0.000729018,0.000729018
22,845.96,3.52932,3.11121,2.87119,0.42795,0.16723,0.08353,0.02236,3.18059,4.1627,2.64068,0.000720019,0.000720019,0.000720019
23,882.106,3.5608,3.0813,2.8501,0.57468,0.17316,0.08696,0.02374,3.08186,3.59817,2.59379,0.00071102,0.00071102,0.00071102
24,926.459,3.58859,2.93059,2.79648,0.41535,0.12146,0.10667,0.0324,3.05086,3.53622,2.53259,0.000702021,0.000702021,0.000702021
25,971.963,3.53141,2.83892,2.63437,0.41813,0.11397,0.11362,0.03911,3.0289,3.68759,2.47183,0.000693022,0.000693022,0.000693022
26,1016.95,3.60028,2.77844,2.56472,0.38507,0.18434,0.10482,0.03848,3.06029,3.20852,2.44117,0.000684022,0.000684022,0.000684022
27,1061.18,3.33948,2.83439,2.64454,0.44457,0.23408,0.13089,0.04368,2.87706,2.74694,2.36127,0.000675023,0.000675023,0.000675023
28,1106.25,3.39773,2.88237,2.52393,0.41521,0.24846,0.13204,0.04478,2.80277,2.95394,2.31357,0.000666024,0.000666024,0.000666024
29,1159.67,3.40291,2.72122,2.53911,0.40608,0.2305,0.11725,0.03965,2.81681,3.35144,2.28182,0.000657025,0.000657025,0.000657025
30,1212.54,3.36661,2.70547,2.39935,0.4405,0.23626,0.14846,0.05211,2.8198,3.25628,2.27504,0.000648026,0.000648026,0.000648026
31,1264.8,3.39188,2.75044,2.41025,0.47233,0.25033,0.19866,0.07625,2.72102,2.78404,2.23849,0.000639027,0.000639027,0.000639027
32,1317.79,3.23766,2.55541,2.1993,0.53027,0.24478,0.20785,0.08116,2.72163,2.5793,2.21037,0.000630028,0.000630028,0.000630028
33,1370.55,3.14782,2.5065,2.22322,0.54549,0.25836,0.2381,0.09358,2.67765,2.48724,2.17188,0.000621029,0.000621029,0.000621029
34,1423.7,3.15534,2.52497,2.32177,0.55163,0.2726,0.26526,0.09472,2.71166,2.50126,2.16848,0.00061203,0.00061203,0.00061203
35,1472.55,3.0991,2.56181,2.37444,0.56858,0.31927,0.26549,0.10488,2.6124,2.46948,2.15773,0.000603031,0.000603031,0.000603031
36,1516.15,3.04562,2.58795,2.37503,0.52817,0.28037,0.22274,0.09332,2.66943,2.5005,2.17624,0.000594031,0.000594031,0.000594031
37,1560.26,3.1113,2.35872,2.14322,0.5963,0.29815,0.25772,0.10803,2.65308,2.45478,2.15828,0.000585032,0.000585032,0.000585032
38,1604.41,3.19319,2.35276,2.14309,0.554,0.37424,0.32048,0.12621,2.53681,2.39458,2.11939,0.000576033,0.000576033,0.000576033
39,1649.43,3.04497,2.5933,2.32127,0.54487,0.39642,0.28977,0.10211,2.6661,2.5388,2.13086,0.000567034,0.000567034,0.000567034
40,1693.79,3.06526,2.43802,2.16655,0.55181,0.39008,0.30709,0.11405,2.60759,2.4971,2.09384,0.000558035,0.000558035,0.000558035
41,1737.69,3.06209,2.34133,2.133,0.63559,0.43178,0.34581,0.15019,2.48717,2.38289,2.07468,0.000549036,0.000549036,0.000549036
42,1783.66,2.96575,2.45268,2.22704,0.62123,0.38615,0.32393,0.13645,2.53124,2.38929,2.08668,0.000540037,0.000540037,0.000540037
43,1847.89,2.84028,2.22254,2.01421,0.66661,0.38006,0.3915,0.1619,2.42389,2.22474,2.05232,0.000531038,0.000531038,0.000531038
44,1890.95,2.84212,2.3826,2.01992,0.6918,0.41193,0.42921,0.1855,2.40301,2.13813,2.04431,0.000522039,0.000522039,0.000522039
45,1935.72,2.88971,2.39101,2.16122,0.66538,0.46627,0.45769,0.18844,2.39198,2.13114,2.03356,0.00051304,0.00051304,0.00051304
46,1979.97,2.92688,2.19522,1.98391,0.69465,0.40619,0.43145,0.17225,2.42173,2.13991,2.02463,0.00050404,0.00050404,0.00050404
47,2024.18,2.88587,2.19538,1.94644,0.6591,0.38338,0.40789,0.16603,2.47241,2.14877,2.03723,0.000495041,0.000495041,0.000495041
48,2068.89,2.85918,2.08482,1.8858,0.57701,0.40448,0.35888,0.15368,2.52566,2.20167,2.05417,0.000486042,0.000486042,0.000486042
49,2126.23,2.81262,2.14065,1.89142,0.62745,0.33132,0.36933,0.15921,2.48392,2.19596,2.04853,0.000477043,0.000477043,0.000477043
50,2194.54,2.80094,2.07821,1.944,0.57771,0.40787,0.36974,0.16936,2.3729,2.24717,2.02327,0.000468044,0.000468044,0.000468044
51,2228.65,2.79297,2.15699,1.9514,0.66642,0.47588,0.46796,0.20856,2.3251,2.1464,1.97873,0.000459045,0.000459045,0.000459045
52,2249.77,2.67604,2.12167,1.92832,0.69433,0.48374,0.47155,0.21338,2.3228,2.18726,1.97492,0.000450046,0.000450046,0.000450046
53,2270.99,2.82706,2.02849,1.85417,0.70106,0.49912,0.4502,0.19725,2.35133,2.19656,1.96711,0.000441047,0.000441047,0.000441047
54,2291.8,2.77515,2.32015,2.09093,0.66452,0.48598,0.42066,0.1833,2.33416,2.2995,1.95057,0.000432048,0.000432048,0.000432048
55,2313.3,2.75624,1.98519,1.777,0.71231,0.49104,0.44462,0.20619,2.26588,2.24057,1.9347,0.000423049,0.000423049,0.000423049
56,2334.38,2.62635,2.00502,1.86622,0.72614,0.47766,0.45977,0.20695,2.27226,2.20755,1.92644,0.000414049,0.000414049,0.000414049
57,2355.18,2.59908,2.05135,1.95589,0.73987,0.46222,0.49445,0.23285,2.23804,2.09141,1.91889,0.00040505,0.00040505,0.00040505
58,2376.18,2.6099,2.08944,1.99141,0.81686,0.43111,0.5174,0.2418,2.28985,2.03605,1.92133,0.000396051,0.000396051,0.000396051
59,2397.31,2.74894,2.04762,2.00977,0.74216,0.50676,0.57522,0.27421,2.24021,1.96448,1.92317,0.000387052,0.000387052,0.000387052
60,2418.55,2.64981,2.0567,1.92173,0.76577,0.47148,0.52284,0.21255,2.31758,1.94496,1.95225,0.000378053,0.000378053,0.000378053
61,2440.25,2.62185,1.97629,1.8288,0.75168,0.39712,0.41402,0.1355,2.48495,2.16677,2.01157,0.000369054,0.000369054,0.000369054
62,2461.49,2.66438,2.01869,1.86588,0.71288,0.41776,0.39021,0.12522,2.52451,2.36291,2.01959,0.000360055,0.000360055,0.000360055
63,2482.64,2.6095,1.94348,1.82631,0.73861,0.45114,0.44366,0.18881,2.30283,2.38856,1.95597,0.000351056,0.000351056,0.000351056
64,2504.19,2.51343,1.84261,1.68338,0.78745,0.45497,0.51875,0.24891,2.18946,2.20107,1.89173,0.000342057,0.000342057,0.000342057
65,2525.54,2.63352,1.9278,1.82106,0.77761,0.48306,0.54196,0.25126,2.22471,2.0983,1.8832,0.000333058,0.000333058,0.000333058
66,2547.12,2.58603,1.99022,1.79701,0.71814,0.4729,0.49821,0.23033,2.26068,2.38218,1.91497,0.000324058,0.000324058,0.000324058
67,2568.51,2.49059,1.89841,1.85019,0.66605,0.49243,0.46154,0.22414,2.22227,3.1101,1.93985,0.000315059,0.000315059,0.000315059
68,2587.5,2.49493,1.87645,1.82166,0.67363,0.5019,0.47768,0.22789,2.21928,3.37675,1.94439,0.00030606,0.00030606,0.00030606
69,2607.28,2.57785,1.93374,1.78327,0.68421,0.51952,0.49742,0.23531,2.21073,3.15293,1.93774,0.000297061,0.000297061,0.000297061
70,2626.71,2.36074,1.74283,1.59151,0.70475,0.49809,0.4957,0.23868,2.18463,3.11036,1.93195,0.000288062,0.000288062,0.000288062
71,2646.16,2.43793,1.9465,1.81665,0.73429,0.48326,0.50837,0.24692,2.15442,2.7654,1.90991,0.000279063,0.000279063,0.000279063
72,2665.54,2.43461,1.89728,1.80694,0.73712,0.49478,0.51223,0.2506,2.14873,2.60392,1.90041,0.000270064,0.000270064,0.000270064
73,2685.26,2.5165,1.88213,1.73808,0.75146,0.48981,0.5225,0.25881,2.17565,2.55213,1.89487,0.000261065,0.000261065,0.000261065
74,2706.76,2.41353,1.83023,1.79026,0.73176,0.48619,0.51415,0.25942,2.16613,2.84592,1.89402,0.000252066,0.000252066,0.000252066
75,2727.16,2.44945,1.70653,1.63768,0.7445,0.52113,0.55602,0.27197,2.11591,2.72107,1.84253,0.000243067,0.000243067,0.000243067
76,2747.36,2.4358,1.73652,1.63149,0.7332,0.51881,0.56547,0.2738,2.11587,2.64311,1.84292,0.000234068,0.000234068,0.000234068
77,2767.24,2.52453,1.98416,1.87824,0.75346,0.5382,0.56799,0.27601,2.12698,2.55253,1.8479,0.000225068,0.000225068,0.000225068
78,2787.4,2.4531,1.90804,1.83265,0.77762,0.53272,0.58048,0.29394,2.09229,2.50797,1.83874,0.000216069,0.000216069,0.000216069
79,2807.39,2.39787,1.74121,1.65471,0.79217,0.54264,0.57988,0.28886,2.08675,2.61645,1.82773,0.00020707,0.00020707,0.00020707
80,2827.27,2.515,1.79945,1.6414,0.79513,0.55175,0.58111,0.28736,2.1119,2.71231,1.81983,0.000198071,0.000198071,0.000198071
81,2849.03,2.43664,1.83617,1.90021,0.80309,0.56859,0.59056,0.28698,2.12942,2.60491,1.81097,0.000189072,0.000189072,0.000189072
82,2871.39,2.35294,1.82039,1.84657,0.80261,0.56535,0.59588,0.29576,2.12053,2.29428,1.81189,0.000180073,0.000180073,0.000180073
83,2893.32,2.41966,1.87613,1.8365,0.77573,0.56751,0.56873,0.27807,2.11246,2.48654,1.82998,0.000171074,0.000171074,0.000171074
84,2915.09,2.39766,1.8259,1.71133,0.75989,0.57266,0.56642,0.27963,2.0918,2.60775,1.80871,0.000162075,0.000162075,0.000162075
85,2937.03,2.44623,1.75398,1.77024,0.80872,0.57841,0.59908,0.29854,2.07224,2.23229,1.79134,0.000153076,0.000153076,0.000153076
86,2958.21,2.46025,1.73395,1.71166,0.82721,0.57593,0.6084,0.30557,2.05185,1.98761,1.77821,0.000144077,0.000144077,0.000144077
87,2978.45,2.44974,1.89337,1.75617,0.83302,0.57172,0.62556,0.31493,2.04594,1.90964,1.7698,0.000135077,0.000135077,0.000135077
88,2999.25,2.33105,1.66542,1.64604,0.85119,0.56733,0.62552,0.3114,2.04459,1.96823,1.7633,0.000126078,0.000126078,0.000126078
89,3019.68,2.34536,1.88957,1.93912,0.84131,0.56855,0.64367,0.32126,2.05384,1.84762,1.76807,0.000117079,0.000117079,0.000117079
90,3040.57,2.32421,1.80473,1.75809,0.86144,0.56711,0.64899,0.32704,2.04446,1.80367,1.76886,0.00010808,0.00010808,0.00010808
91,3061.92,2.07604,1.63822,1.56269,0.78929,0.58046,0.6119,0.3112,2.01416,2.11543,1.75798,9.9081e-05,9.9081e-05,9.9081e-05
92,3082.62,2.16144,1.88104,1.61222,0.78539,0.57891,0.62315,0.31788,2.01057,2.21543,1.75476,9.00819e-05,9.00819e-05,9.00819e-05
93,3102.98,2.16343,1.74933,1.65742,0.78862,0.56681,0.59464,0.30074,2.03038,2.39895,1.75897,8.10828e-05,8.10828e-05,8.10828e-05
94,3121.4,2.10962,1.65479,1.54949,0.80337,0.56671,0.60637,0.30614,2.03372,2.1816,1.7574,7.20837e-05,7.20837e-05,7.20837e-05
95,3140.53,2.14196,1.73167,1.60647,0.81601,0.58542,0.62361,0.31632,2.02575,2.06253,1.7576,6.30846e-05,6.30846e-05,6.30846e-05
96,3159.6,2.15376,1.71543,1.61526,0.78448,0.5704,0.60421,0.30958,2.01486,2.38241,1.76007,5.40855e-05,5.40855e-05,5.40855e-05
97,3178.91,2.15218,1.69363,1.58783,0.7913,0.57962,0.59514,0.30286,2.01545,2.35897,1.76304,4.50864e-05,4.50864e-05,4.50864e-05
98,3197.83,2.03911,1.67,1.55107,0.78706,0.57264,0.59198,0.30111,2.01923,2.46945,1.76231,3.60873e-05,3.60873e-05,3.60873e-05
99,3217.13,2.11938,1.73352,1.62829,0.79621,0.56584,0.5916,0.2967,2.01842,2.366,1.75659,2.70882e-05,2.70882e-05,2.70882e-05
100,3236.42,2.16146,1.72449,1.5926,0.80025,0.57008,0.59063,0.29582,2.01275,2.33541,1.7522,1.80891e-05,1.80891e-05,1.80891e-05
